Country,Factor_Ranking,,,,,Knowledge,,,,,Sub_Knowledge,,,,,,,,,,,,,,,,,,,,,,Technology,,,,,Sub_Technology,,,,,,,,,,,,,,,,,,,,,Future_Readiness,,,,,Sub_Future,,,,,,,,,,,,,,,,,
,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021,Talent,Educational_assessment_PISA_Math,International_Experience,Foreign_highly_skilled_personnel,Management_of_cities,Digital/Technological_skills,Net_flow_of_international_students,Training_&_education,Employee_training,Total_public_expenditures_on_education,Higher_education_achievement,Pupil_teacher_ratio_(tertiary_education),Graduates_in_Sciences,Women_with_degrees,Scientific_concentration,Total_expenditure_on_R&D_(%),Total_R&D_personnel_per_capita,Female_researchers_,R&D_productivity_by_publication,Scientific_and_technical_employment,High_tech_patent_grants_,Robots_in_Education_and_R&D,2017,2018,2019,2020,2021,Regulatory_framework,Starting_a_business,Enforcing_contracts,Immigration_laws,Development_&_application_of_tech.,Scientific_research_legislation,Intellectual_property_rights,Capital,IT_&_media_stock_market_capitalization,Funding_for_technological_development,Banking_and_financial_services,Country_credit_rating,Venture_capital,Investment_in_Telecommunications,Technological_framework,Communications_technology,Mobile_Broadband_subscribers,Wireless_broadband,Internet_users,Internet_bandwidht_speed,High_tech_exports_(%),2017,2018,2019,2020,2021,Adaptive_attitudes,E_Participation,Internet_retailing,Tablet_possession,Smarthphone_possession,Attitudes_toward_globalization,Business_agility,Opportunities_and_threats,World_robots_distribution,Agility_of_companies,Use_of_big_data_and_analytics,Knowledge_transfer,Entrepreneurial_fear_of_failure,IT_integration,E_Government,Public_private_partnerships,Cyber_security,Software_piracy
Cyprus,53,54,54,40,43,46,55,55,40,39,56,42,31,26,33,38,62,29,39,20,10,29,61,17,29,50,42,26,56,6,6,,54,56,59,52,53,47,29,59,52,41,38,42,54,45,48,47,55,57,29,52,34,60,44,33,53,20,54,44,40,29,34,27,14,,38,,48,50,53,,48,60,51,20,33,18,46,38,34
Czech_Republic,32,33,37,35,33,36,38,37,37,35,28,21,34,45,34,41,13,45,45,26,48,35,25,44,30,19,18,50,35,29,35,17,26,31,34,36,37,44,56,52,21,43,33,34,29,17,38,24,21,27,46,32,28,29,27,35,40,18,37,34,39,36,37,35,50,20,45,27,49,32,38,16,40,38,37,,36,35,52,41,20
Denmark,5,4,4,3,4,8,8,6,6,8,5,12,10,14,1,3,9,4,2,7,25,4,40,22,17,10,2,32,45,19,37,27,10,10,11,9,9,4,26,13,25,3,4,2,13,50,5,7,1,7,35,6,2,9,9,5,5,33,1,1,2,1,2,4,9,5,20,11,3,7,6,29,2,13,3,,1,1,1,16,8
Estonia,26,25,29,21,25,28,29,30,23,27,29,7,46,28,39,43,33,8,16,9,33,16,18,11,45,23,29,18,60,31,24,50,19,20,22,23,25,28,7,8,50,29,35,33,33,54,25,28,24,17,39,20,40,38,4,15,33,25,26,26,30,20,20,20,1,21,6,31,33,25,24,47,12,34,36,13,25,3,50,20,30
Finland,4,7,7,10,11,9,9,9,15,9,10,15,18,39,4,1,17,19,7,14,35,48,16,7,10,12,8,38,50,9,9,24,4,4,8,10,12,11,18,34,48,4,3,3,10,23,2,3,12,5,54,14,1,5,6,18,30,44,4,8,7,9,9,7,14,11,8,12,7,21,36,34,25,16,5,25,2,4,6,5,13
France,25,26,24,24,24,19,20,20,20,20,23,24,47,30,17,30,19,27,30,21,23,40,26,30,12,15,21,46,15,16,15,5,22,19,16,15,16,10,21,15,14,21,21,15,21,28,22,34,15,23,20,17,20,25,36,28,14,10,28,27,29,31,31,48,18,19,48,39,64,33,52,8,53,52,28,23,22,19,20,28,20
Germany,17,18,17,18,18,13,14,12,12,14,21,19,15,17,18,54,15,17,6,39,46,3,3,43,6,8,11,49,12,26,18,2,21,21,31,31,31,25,51,12,10,44,28,9,23,11,31,31,1,30,42,43,55,56,46,16,32,27,18,20,16,19,18,23,45,13,22,23,35,15,55,5,38,53,14,7,20,24,37,24,8
Greece,50,53,53,46,44,51,51,53,48,45,42,41,19,52,48,36,54,55,44,44,34,59,15,35,35,31,27,28,33,20,47,39,52,51,54,43,46,43,6,60,23,36,43,45,52,14,41,58,57,49,22,50,51,41,32,52,49,32,47,46,53,46,43,43,41,33,41,49,45,51,42,44,51,45,50,27,41,37,30,42,52
Hong_Kong_SAR,7,11,8,5,2,6,5,7,7,5,6,3,4,16,5,15,35,1,14,37,9,30,1,,14,42,30,,21,2,2,55,3,6,4,2,1,6,4,25,11,11,19,7,7,5,11,6,16,8,58,1,7,17,5,21,2,1,17,24,15,10,10,3,,17,7,1,5,9,1,38,1,12,12,24,17,,8,11,28
Hungary,44,46,43,47,45,48,48,44,44,43,43,35,36,51,44,58,18,47,51,29,50,21,37,40,42,25,25,48,48,36,38,29,38,40,36,39,36,36,38,22,30,39,39,40,45,34,35,40,47,42,28,21,42,14,54,34,4,22,55,58,57,60,61,62,55,39,51,59,63,62,60,26,59,57,45,32,42,44,48,55,27
Iceland,23,21,27,23,21,30,28,29,27,33,35,25,40,37,35,4,60,22,31,4,26,38,53,8,39,13,7,13,62,12,53,55,20,18,20,21,10,14,34,26,6,13,20,16,26,,23,26,33,35,23,3,4,7,10,2,13,6,21,19,26,22,25,31,42,35,,,10,16,4,56,5,20,20,,27,12,33,26,34
India,51,48,44,48,46,37,46,38,39,41,38,,35,41,45,21,43,43,34,35,53,57,6,,47,47,53,,2,61,49,21,59,53,49,50,44,52,57,63,42,26,24,44,4,12,29,25,53,22,1,62,36,45,63,64,52,40,51,48,46,56,50,55,28,57,60,52,22,36,16,12,24,15,29,55,51,59,23,32,48
Indonesia,59,62,56,56,53,58,61,56,63,60,48,57,38,21,38,47,40,64,18,56,59,58,50,54,44,57,55,15,4,,58,43,56,59,47,54,49,50,60,58,28,34,42,48,25,26,32,17,45,20,11,55,46,43,42,62,62,48,62,62,58,48,48,57,45,48,59,54,13,26,26,27,22,32,30,17,60,57,21,35,62
Ireland,21,20,19,20,19,25,22,24,24,23,18,20,12,9,31,23,21,32,15,54,11,51,35,15,26,32,17,31,41,17,10,37,25,29,28,30,28,19,12,48,9,18,10,18,35,58,14,30,26,18,59,34,48,40,34,25,36,11,10,13,5,14,14,12,28,7,16,10,8,14,10,43,9,30,16,12,19,25,25,13,19
Israel,13,12,16,19,17,7,2,8,9,12,27,38,16,33,25,20,46,3,40,3,27,,,5,9,1,,,52,7,16,38,27,25,30,32,27,31,17,47,46,22,11,24,28,9,21,38,25,24,56,26,46,21,18,37,34,14,11,7,19,23,21,25,51,25,19,13,20,31,22,39,43,7,7,52,13,28,16,2,17
Italy,39,41,41,42,40,42,42,41,42,40,40,30,51,48,37,46,34,60,53,45,52,50,34,48,25,26,24,37,9,14,48,11,45,41,46,46,42,42,42,56,19,46,41,25,48,37,44,50,50,44,15,44,45,47,25,38,43,47,30,36,31,38,30,36,35,28,42,49,41,19,29,6,37,50,34,5,38,34,43,39,33
Japan,27,22,23,27,28,29,18,25,22,25,47,5,64,49,15,62,26,21,27,57,8,1,44,6,13,5,20,55,14,40,5,4,23,23,24,26,30,48,44,36,62,49,47,27,37,10,36,36,28,36,53,8,37,11,2,14,17,24,25,25,24,26,27,18,4,15,24,21,46,53,62,2,64,63,40,33,23,14,42,44,2
Jordan,56,45,50,53,49,61,56,49,54,48,34,53,13,32,29,18,20,33,12,60,,23,22,,62,46,54,54,55,43,51,,50,48,53,44,43,38,50,53,26,25,27,31,41,48,24,18,59,21,24,53,35,44,52,48,50,61,48,41,52,58,56,61,61,60,54,25,34,28,33,,27,1,22,51,54,61,27,14,46
Kazakhstan,38,38,35,36,32,40,35,32,34,36,45,47,29,25,32,50,59,14,22,62,1,39,31,3,54,60,49,3,24,54,57,,35,39,39,41,40,22,11,4,24,33,34,43,51,,27,41,48,37,62,47,51,49,56,43,54,9,38,40,35,33,28,32,25,49,43,28,27,6,27,,30,6,32,1,44,27,28,43,59
Korea_Rep.,19,14,10,8,12,14,11,11,10,15,26,6,52,46,9,33,44,16,32,38,4,33,11,21,3,2,3,53,27,33,3,12,17,17,17,12,13,23,19,2,27,45,30,36,16,2,34,42,16,39,44,7,12,10,21,7,12,7,24,17,4,3,5,2,1,2,22,16,17,5,20,3,18,26,25,16,16,2,38,23,20
Latvia,35,35,36,38,37,34,34,36,36,34,24,23,14,43,40,24,25,30,49,13,30,18,48,25,51,48,38,5,57,35,33,49,32,32,23,34,34,34,15,14,57,35,37,39,46,,43,56,35,33,50,18,17,19,15,26,24,23,41,39,45,42,42,51,59,34,27,47,52,48,51,54,39,25,39,42,37,43,39,25,40
Lithuania,29,29,30,29,30,21,23,26,25,26,25,34,22,35,36,5,56,15,26,33,12,12,20,16,37,41,31,9,54,28,29,48,29,30,24,29,29,32,20,7,55,32,36,38,30,6,30,46,31,34,61,30,9,48,17,30,21,34,31,33,32,30,33,47,49,30,35,53,39,24,2,46,8,24,42,,34,20,40,33,43
Luxembourg,20,24,21,28,22,27,32,34,35,29,33,32,6,5,12,22,61,20,11,32,13,8,52,9,38,34,5,47,61,22,21,,12,15,12,17,14,8,35,17,2,14,9,13,8,3,13,20,1,18,63,25,14,53,28,6,6,53,23,21,17,27,24,38,53,,,,26,22,13,,11,21,18,40,12,30,14,9,4
Malaysia,24,27,26,26,27,17,17,19,19,22,30,43,30,23,23,28,27,9,25,40,41,28,2,4,32,40,39,7,19,47,32,26,18,22,19,20,26,35,52,28,41,23,26,28,31,25,28,27,40,28,26,15,43,26,20,40,35,4,27,29,28,32,29,29,28,47,28,26,18,27,23,22,28,22,26,37,31,41,17,27,45
Mexico,49,51,49,54,56,54,54,52,52,54,51,51,17,40,53,51,41,57,47,58,55,17,28,53,50,55,52,40,7,49,50,13,48,46,52,56,57,54,45,33,45,57,63,52,57,19,61,54,46,50,51,54,56,52,58,54,51,19,50,50,49,52,51,52,34,44,49,57,25,41,43,9,34,49,43,45,52,50,45,61,42
Mongolia,61,61,62,62,62,59,53,62,58,58,60,,63,56,61,55,57,39,17,31,42,54,27,23,61,61,46,10,59,57,63,,61,62,62,60,61,58,43,44,54,59,62,63,62,,60,62,61,62,14,60,53,63,43,61,60,57,60,59,61,59,62,37,58,,,14,43,63,59,,58,62,64,,62,58,60,63,
Netherlands,6,9,6,7,7,11,12,13,14,11,4,8,3,4,8,6,6,28,9,24,20,25,57,28,16,16,9,51,28,10,11,24,9,8,6,8,7,7,13,45,4,8,12,6,3,4,6,11,1,4,45,10,6,15,35,9,8,15,3,4,3,4,4,6,9,6,14,24,6,8,14,20,15,17,2,4,6,10,2,21,13
New_Zealand,14,19,18,22,23,20,21,21,28,28,14,26,28,10,49,34,3,36,41,15,31,37,46,26,33,28,16,,42,11,45,45,11,8,6,18,21,24,1,20,64,15,25,12,22,33,40,12,14,32,18,23,21,42,14,22,18,43,20,18,20,21,19,16,4,18,13,19,24,30,21,41,23,33,27,,18,8,49,37,2
Norway,10,6,9,9,9,15,16,16,16,17,16,18,33,12,13,7,52,11,10,19,21,5,43,19,22,17,10,24,44,21,28,31,2,2,3,3,6,1,14,3,12,5,6,5,6,18,7,2,1,6,34,12,3,28,32,3,10,16,12,6,8,6,8,8,18,9,3,5,14,11,12,42,14,9,10,9,8,13,7,18,10
Peru,62,60,61,55,57,62,60,61,55,59,59,52,37,26,60,61,,41,56,48,5,52,10,38,60,59,57,45,30,56,55,41,57,57,58,58,56,49,55,46,15,51,54,53,43,53,54,45,41,41,9,58,60,49,60,58,57,58,58,60,59,55,54,54,44,55,53,45,30,39,48,55,47,48,49,8,56,54,41,47,53
Philippines,46,56,55,57,58,53,50,51,62,63,55,59,32,42,47,53,38,61,35,53,57,55,14,51,56,58,56,4,29,60,23,53,51,58,55,53,54,62,63,62,39,42,48,54,40,39,47,32,43,43,12,49,61,54,29,60,61,2,43,52,54,54,57,60,45,58,56,55,32,37,38,40,33,37,47,21,57,55,32,50,55
Poland,37,36,33,32,41,32,33,33,30,38,41,9,50,54,46,56,30,44,62,23,32,32,45,33,28,29,33,27,16,37,40,15,39,37,37,37,41,53,54,39,43,58,52,50,47,27,50,48,36,47,32,31,50,35,3,45,28,41,39,37,33,35,39,28,9,26,10,40,58,44,35,17,36,42,57,41,45,23,59,52,36
Portugal,33,32,34,37,34,31,27,31,33,32,22,27,43,34,21,14,24,38,60,36,40,13,12,39,27,27,23,19,32,20,36,34,37,36,38,38,38,21,33,30,3,27,32,26,44,41,33,39,37,46,43,46,11,59,53,47,23,51,35,32,34,41,38,30,35,32,32,41,19,58,46,32,49,58,35,50,30,32,36,36,28
Qatar,28,28,31,30,29,35,37,45,45,44,19,50,7,8,7,12,29,54,19,61,58,31,33,,59,51,47,36,51,59,14,53,31,27,33,25,19,27,46,55,17,12,13,19,24,40,10,9,23,14,57,16,16,3,11,1,37,60,19,16,22,24,23,26,56,53,5,7,16,17,8,58,16,2,15,39,28,51,9,4,38
Romania,54,47,46,49,50,47,45,47,53,52,50,46,42,47,56,29,45,59,59,50,54,49,13,52,43,52,44,14,22,48,34,35,46,44,45,48,47,40,39,18,35,50,51,47,61,52,52,59,52,54,49,40,25,55,40,50,9,37,59,57,51,49,49,42,39,38,37,37,55,57,57,35,54,39,54,26,50,48,58,34,51
Russia,42,40,38,43,42,24,24,22,26,24,44,29,54,53,54,49,23,6,42,49,7,10,7,2,24,39,26,23,5,42,27,7,44,43,43,47,48,39,24,19,49,52,46,56,58,47,49,53,49,60,38,45,26,51,39,42,44,30,52,51,42,53,47,44,26,37,39,29,61,56,50,31,57,31,56,38,48,33,53,45,53
Saudi_Arabia,36,42,39,34,36,39,40,39,46,50,32,58,9,15,22,17,39,34,36,6,37,45,42,37,64,,,,,55,52,55,41,50,40,24,24,30,22,37,34,19,23,30,15,46,18,22,33,16,7,35,18,30,16,11,47,62,32,38,38,28,32,46,51,42,31,36,44,35,40,52,35,28,33,29,24,38,18,3,38
Singapore,1,2,2,2,5,1,1,3,2,4,2,2,8,3,2,8,7,13,23,63,2,27,4,,11,20,15,43,39,27,1,30,1,1,1,1,3,5,3,1,61,1,8,8,14,31,4,4,1,10,55,2,10,20,8,24,1,3,6,15,11,12,11,11,6,24,15,2,9,12,17,14,13,14,8,,7,11,3,8,17
Slovak_Republic,43,50,47,50,47,43,49,48,51,46,52,31,57,60,51,37,58,49,54,41,39,26,41,41,40,45,34,21,38,46,30,32,43,47,44,51,45,60,49,35,56,60,61,59,42,57,56,52,29,53,5,39,44,37,37,36,29,42,46,53,47,51,46,49,53,31,34,32,59,60,58,28,45,57,61,34,40,42,47,56,26
Slovenia,34,34,32,31,35,26,26,27,29,30,37,13,39,57,41,27,36,23,20,25,29,15,19,31,31,18,14,42,58,24,20,33,40,38,35,35,39,45,25,54,44,48,40,41,39,43,39,44,31,51,13,33,31,2,44,41,27,50,36,35,36,37,40,41,28,40,29,51,53,40,34,36,31,43,41,30,35,22,51,31,30
South_Africa,47,49,48,60,60,49,52,54,60,62,58,,56,50,63,57,32,62,52,2,60,46,55,55,53,44,51,16,26,,59,39,53,52,51,55,59,59,59,51,63,53,44,49,36,8,58,43,56,56,4,61,59,61,47,63,56,55,42,43,44,57,59,59,45,59,57,44,56,59,49,33,55,40,55,48,55,56,61,57,20
Spain,30,31,28,33,31,33,31,28,32,31,31,33,41,24,26,35,31,40,48,43,28,20,39,27,23,33,28,22,10,25,43,9,33,33,29,33,33,37,41,23,22,37,53,29,34,20,42,35,38,29,27,24,19,27,31,19,16,52,29,30,27,40,35,33,34,29,26,56,28,49,47,10,41,55,48,46,29,17,26,40,32
Sweden,2,3,3,4,3,2,7,4,4,2,7,16,5,19,10,2,22,2,3,5,22,22,21,14,4,4,12,41,40,3,7,22,5,5,7,6,8,3,23,31,13,2,2,4,5,21,1,8,1,2,36,13,5,23,19,8,7,28,5,5,6,7,6,5,35,14,2,6,1,13,9,21,10,10,4,31,5,6,13,19,6
Switzerland,8,5,5,6,6,4,6,2,3,1,3,10,1,1,6,11,10,7,4,17,14,6,29,29,8,7,4,33,37,4,26,14,8,9,10,11,11,9,37,41,18,6,1,1,12,44,9,5,1,11,31,11,8,6,38,13,3,31,13,10,10,5,3,10,18,8,9,4,21,4,11,25,6,23,1,3,4,16,5,7,10
"Taiwan,_China",12,16,13,11,8,16,19,17,18,16,17,4,27,38,19,25,11,12,5,51,3,53,5,18,19,3,1,52,36,44,17,20,7,11,9,5,2,16,10,11,29,20,16,21,2,1,17,13,21,12,47,4,24,1,13,20,19,5,16,22,12,8,7,13,,23,25,3,4,2,5,7,3,4,11,11,15,,15,10,25
Thailand,41,39,40,39,38,44,44,43,43,42,39,48,25,22,28,42,37,56,20,59,49,56,17,47,36,36,40,6,31,58,42,17,30,28,27,22,22,29,27,29,20,30,31,37,19,16,26,16,42,26,10,22,22,21,24,49,20,12,45,49,50,45,44,53,42,46,58,46,12,34,25,11,29,29,24,54,43,49,22,29,56
Turkey,52,52,52,44,48,60,59,60,56,57,49,39,59,55,42,39,28,63,50,34,44,60,49,50,41,38,41,30,13,45,54,28,49,45,48,42,52,41,36,21,38,47,45,58,60,30,45,37,60,55,52,48,49,4,55,44,59,59,40,42,41,34,41,34,22,41,44,38,40,29,18,19,32,54,53,6,47,46,44,46,48
UAE,18,17,12,14,10,38,36,35,31,18,1,45,2,2,3,10,1,25,8,55,16,44,9,10,52,30,32,39,53,32,31,43,14,7,2,4,5,2,8,9,1,9,7,22,11,13,8,10,16,9,40,5,23,12,1,4,31,39,7,12,9,11,12,15,16,27,12,18,2,10,3,53,4,3,9,28,10,21,10,1,20
Ukraine,60,58,60,58,54,45,39,40,38,37,46,40,49,58,50,26,47,18,37,11,,11,30,,55,53,45,17,20,53,44,45,62,61,61,59,58,46,32,43,32,55,55,61,55,,57,57,62,61,2,57,38,64,61,46,48,54,61,61,62,61,58,56,39,50,55,48,47,45,45,51,46,19,59,,61,53,57,53,60
United_Kingdom,11,10,15,13,14,10,10,14,13,13,11,17,23,20,16,19,4,26,38,27,18,36,24,20,7,22,19,25,6,8,19,6,16,13,18,16,17,20,9,27,51,17,15,14,18,32,12,14,19,3,48,19,27,18,26,10,39,13,9,3,13,13,13,9,6,3,18,22,37,23,28,15,20,18,13,35,9,7,19,17,10
USA,3,1,1,1,1,5,4,1,1,3,13,36,26,6,27,9,14,24,29,10,19,19,56,13,2,9,,,3,18,4,3,6,3,5,7,4,12,30,16,37,7,5,17,1,7,3,1,10,1,19,9,15,13,7,23,11,21,2,2,1,2,1,1,1,1,1,14,38,1,7,4,7,5,6,18,3,9,11,22,1
Venezuela,63,63,63,63,64,63,63,63,61,61,64,,60,64,64,64,,52,55,,,,,,49,62,,1,34,,56,55,63,63,63,63,64,64,64,61,53,63,64,64,64,55,64,64,64,64,64,63,64,46,64,51,64,,63,63,63,63,64,64,62,56,50,60,36,52,32,57,52,44,63,,64,62,64,64,63
